,build_year_mbc
1745,66.0
1746,10.0
1747,53.0
1748,57.0
1749,62.0
1750,64.0
1751,65.0
1752,64.0
1753,51.0
1754,64.0
1755,64.0
1756,54.0
1757,64.0
1758,64.0
1759,43.0
1760,64.0
1761,49.0
1762,60.0
1763,64.0
1764,64.0
1765,65.0
1766,58.0
1767,64.0
1768,65.0
1769,65.0
1770,35.0
1771,65.0
1772,53.0
1773,64.0
1774,65.0
1775,65.0
1776,56.0
1777,111.0
1778,103.0
1779,95.0
1780,106.0
1781,110.0
1782,14.0
1783,64.0
1784,64.0
1785,64.0
1786,64.0
1787,64.0
1788,64.0
1789,65.0
1790,64.0
1791,64.0
1792,64.0
1793,64.0
1794,64.0
1795,64.0
1796,64.0
1797,64.0
1798,64.0
1799,64.0
1800,64.0
1801,60.0
1802,64.0
1803,64.0
1804,55.0
1805,64.0
1806,64.0
1807,64.0
1808,52.0
1809,73.0
1810,64.0
1811,72.0
1812,75.0
1813,62.0
1814,62.0
1815,75.0
1816,107.0
1817,20.0
1818,20.0
1819,20.0
1820,20.0
1821,20.0
1822,20.0
1823,20.0
1824,20.0
1825,20.0
1826,20.0
1827,20.0
1828,20.0
1829,20.0
1830,20.0
1831,20.0
1832,20.0
1833,20.0
1834,20.0
1835,20.0
1836,20.0
1837,20.0
1838,21.0
1839,21.0
1840,21.0
1841,20.0
1842,21.0
1843,16.0
1844,21.0
1845,21.0
1846,20.0
1847,20.0
1848,21.0
1849,21.0
1850,57.0
1851,56.0
1852,64.0
1853,64.0
1854,64.0
1855,64.0
1856,64.0
1857,65.0
1858,47.0
1859,64.0
1860,12.0
1861,65.0
1862,53.0
1863,65.0
1864,65.0
1865,49.0
1866,64.0
1867,110.0
1868,77.0
1869,95.0
1870,104.0
1871,54.0
1872,52.0
1873,51.0
1874,21.0
1875,39.0
1876,96.0
1877,110.0
1878,110.0
1879,106.0
1880,112.0
1881,15.0
1882,78.0
1883,76.0
1884,110.0
1885,110.0
1886,63.0
1887,110.0
1888,62.0
1889,79.0
1890,54.0
1891,106.0
1892,112.0
1893,39.0
1894,39.0
1895,40.0
1896,35.0
1897,39.0
1898,40.0
1899,46.0
1900,41.0
1901,46.0
1902,47.0
1903,43.0
1904,46.0
1905,42.0
1906,46.0
1907,46.0
1908,41.0
1909,47.0
1910,47.0
1911,46.0
1912,46.0
1913,46.0
1914,46.0
1915,47.0
1916,46.0
1917,53.0
1918,46.0
1919,90.0
1920,93.0
1921,82.0
1922,102.0
1923,45.0
1924,44.0
1925,45.0
1926,45.0
1927,45.0
1928,36.0
1929,36.0
1930,39.0
1931,39.0
1932,47.0
1933,47.0
1934,46.0
1935,46.0
1936,45.0
1937,47.0
1938,46.0
1939,46.0
1940,63.0
1941,59.0
1942,64.0
1943,64.0
1944,65.0
1945,53.0
1946,51.0
1947,72.0
1948,71.0
1949,69.0
1950,38.0
1951,38.0
1952,38.0
1953,38.0
1954,38.0
1955,38.0
1956,38.0
1957,38.0
1958,38.0
1959,38.0
1960,38.0
1961,38.0
1962,38.0
1963,37.0
1964,38.0
1965,37.0
1966,35.0
1967,38.0
1968,37.0
1969,33.0
1970,35.0
1971,34.0
1972,35.0
1973,36.0
1974,35.0
1975,35.0
1976,35.0
1977,34.0
1978,35.0
1979,34.0
1980,71.0
1981,69.0
1982,72.0
1983,71.0
1984,15.0
1985,68.0
1986,22.0
1987,74.0
1988,72.0
1989,78.0
1990,76.0
1991,78.0
1992,76.0
1993,68.0
1994,78.0
1995,78.0
1996,43.0
1997,43.0
1998,42.0
1999,42.0
2000,42.0
2001,42.0
2002,42.0
2003,42.0
2004,42.0
2005,43.0
2006,43.0
2007,42.0
2008,42.0
2009,42.0
2010,40.0
2011,41.0
2012,39.0
2013,42.0
2014,42.0
2015,42.0
2016,42.0
2017,39.0
2018,72.0
2019,69.0
2020,72.0
2021,70.0
2022,71.0
2023,71.0
2024,41.0
2025,69.0
2026,69.0
2027,72.0
2028,71.0
2029,71.0
2030,64.0
2031,65.0
2032,64.0
2033,64.0
2034,64.0
2035,64.0
2036,64.0
2037,64.0
2038,64.0
2039,64.0
2040,64.0
2041,64.0
2042,64.0
2043,64.0
2044,64.0
2045,64.0
2046,64.0
2047,64.0
2048,64.0
2049,64.0
2050,62.0
2051,64.0
2052,60.0
2053,64.0
2054,64.0
2055,64.0
2056,64.0
2057,63.0
2058,57.0
2059,64.0
2060,54.0
2061,54.0
2062,55.0
2063,57.0
2064,44.0
2065,65.0
2066,34.151212518231034
2067,68.0
2068,66.0
2069,70.0
2070,68.0
2071,62.0
2072,67.0
2073,62.0
2074,60.0
2075,72.0
2076,67.0
2077,72.0
2078,70.0
2079,72.0
2080,70.0
2081,71.0
2082,60.0
2083,63.0
2084,52.0
2085,49.0
2086,44.0
2087,45.0
2088,44.0
2089,45.0
2090,44.0
2091,45.0
2092,45.0
2093,45.0
2094,45.0
2095,64.0
