,taxroll_number,landuse_description,net_area,basement_finished,has_garage,has_fireplace,assessed_value,lot_size,building_count,walkout_basement,air_conditioning,valuation_group,tot_gross_area_description,lon,lat
11467,10007127,0,174.7,0,1,1,500500,619.803,1,0,0,,228.2,-113.4384805,53.62416554
11468,10007066,0,129.5,1,1,0,418500,445.607,1,0,0,,174.0,-113.4384673,53.62468441
11469,10007065,0,136.2,0,1,1,423000,454.589,1,0,0,,182.3,-113.43864640000001,53.62463134
11470,10007064,0,135.1,0,1,1,428000,441.093,1,0,0,,178.0,-113.43881979999999,53.624571499999995
11471,10020933,0,172.54,1,1,1,684500,1211.261,1,0,1,,234.54,-113.3436642,53.62523102
11472,10020937,0,181.98,0,1,1,638000,1059.626,1,0,0,,261.38,-113.34307140000001,53.62458528
11473,10020932,0,255.3,1,1,1,721500,1010.344,1,0,0,,328.9,-113.3432369,53.6251815
11474,10020931,0,154.23,1,1,1,655000,1006.924,1,0,0,,234.53,-113.3428554,53.62516369
11475,10020939,0,182.41,1,1,1,768000,1040.346,1,0,1,,266.21,-113.3424294,53.624584
11476,10020930,0,173.0,1,1,1,648000,1011.657,1,0,0,,215.9,-113.34251909999999,53.62516633
11477,10020940,0,212.4,0,1,1,667000,1051.44,1,0,0,,269.46,-113.3421196,53.62456882
11478,10020929,0,191.68,1,1,1,726500,1011.64,1,0,0,,299.58,-113.34218670000001,53.62516451
11479,10020941,0,204.8,0,1,1,664500,1014.816,1,0,0,,280.6,-113.34169299999999,53.6246451
11480,10020928,0,192.8,1,1,1,713000,1011.646,1,0,0,,264.3,-113.34185430000001,53.62516268
11481,10020942,0,212.12,1,1,1,729000,1326.561,1,0,1,,298.98,-113.3416443,53.62446511
11482,10020927,0,225.02,1,1,1,751000,1011.651,1,0,0,,325.03,-113.3415217,53.62516534
11483,10020925,0,247.2,0,1,1,719500,1017.192,1,0,0,,321.9,-113.34083909999998,53.62517057
11484,10020945,0,224.9,0,1,1,717000,1016.293,1,0,1,,282.5,-113.3406513,53.62466632
11485,10020924,0,165.2,0,1,1,719500,1490.485,1,0,0,,279.1,-113.34037820000002,53.625186
11486,10020946,0,140.82,1,1,1,622500,1092.356,1,0,0,,187.08,-113.34023629999999,53.62468201
11487,10020948,0,287.4,0,1,1,705000,1015.126,1,0,0,,373.0,-113.33967369999999,53.62501813
11488,10078980,0,135.2,1,1,1,455500,530.633,1,0,1,,178.1,-113.40045590000001,53.62476515
11489,10078979,0,144.1,0,1,1,407500,416.196,1,0,0,,187.9,-113.4007047,53.62478212
11490,10078978,0,203.7,0,1,1,465500,395.885,1,0,0,,242.3,-113.4009322,53.62481471
11491,10078976,0,164.6,1,1,1,434000,430.615,1,0,0,,204.1,-113.401306,53.624803099999994
11492,10079057,0,204.4,0,1,0,480000,530.536,1,0,0,,247.2,-113.4014753,53.62524875
11493,10079058,0,144.2,0,1,0,404500,439.483,1,0,0,,186.9,-113.4016773,53.6252228
11494,10079059,0,117.6,0,1,1,422000,431.304,1,0,0,,162.5,-113.40185679999999,53.62519674
11495,10079060,0,179.9,0,1,1,446500,416.608,1,0,0,,230.4,-113.40202439999999,53.62513917
11496,10079061,0,133.6,1,1,1,443000,416.719,1,0,0,,182.7,-113.4021949,53.62509509
11497,10079062,0,190.4,0,1,1,458000,416.614,1,0,0,,237.6,-113.40236540000001,53.62505326
11498,10079063,0,207.8,0,1,1,472500,416.563,1,0,0,,253.5,-113.40253590000002,53.62500918
11499,10079065,0,238.7,0,1,1,419000,456.641,1,0,0,,284.4,-113.4029078,53.62496161
11500,6958920,0,104.78,1,1,1,348000,625.709,1,0,0,,158.07,-113.51105690000001,53.62325742
11501,6958664,0,120.41,1,1,1,365000,625.015,1,0,0,,161.28,-113.510921,53.623742099999994
11502,6958904,0,110.15,1,1,0,343500,625.733,1,0,0,,163.44,-113.5113253,53.62325627
11503,6958680,0,120.68,1,1,1,358000,624.859,1,0,0,,173.97,-113.5111953,53.62374322
11504,6958888,0,103.7,1,1,1,343000,625.713,1,0,0,,152.61,-113.51160959999999,53.62325743
11505,6958706,0,124.6,0,1,1,361500,629.353,1,0,0,,196.85,-113.51145009999999,53.62374426
11506,6958862,0,138.28,1,1,1,374000,617.962,1,0,0,,181.16,-113.51187409999999,53.62322931
11507,6958722,0,106.97,1,1,1,352000,609.867,1,0,0,,165.37,-113.51172609999999,53.62374764
11508,6958847,0,112.8,0,0,1,315500,692.34,1,0,0,,112.8,-113.51217549999998,53.62323727
11509,6958821,0,224.85,1,1,1,473500,1365.015,1,0,0,,275.1,-113.51263940000001,53.62329757
11510,6958763,0,126.83,1,1,1,385000,647.767,1,0,0,,175.74,-113.5122604,53.62375206
11511,6958805,0,219.29,1,1,1,456500,831.891,1,0,0,,266.76,-113.5124853,53.62350811
11512,10246420,0,243.4,0,1,1,566500,371.489,1,0,0,,285.9,-113.55454350000001,53.62484917
11513,10246421,0,239.9,1,1,1,575000,371.491,1,0,0,,286.0,-113.5547087,53.62484978
11514,10246423,0,254.3,1,1,1,586000,371.441,1,0,0,,302.2,-113.55503909999999,53.62485101
11515,10246424,0,255.4,0,1,1,578500,371.437,1,0,0,,298.5,-113.55520420000002,53.62485162
11516,10246426,0,238.8,0,1,1,563000,371.538,1,0,0,,284.9,-113.55553459999999,53.62484836
11517,10246427,0,236.3,0,1,1,561500,371.56,1,0,0,,283.6,-113.55569979999999,53.62484897
11518,10246419,0,241.5,0,1,1,564500,371.578,1,0,0,,284.0,-113.555865,53.62484958
11519,10303562,0,227.6,0,1,0,411500,371.774,1,0,0,,273.7,-113.55603020000001,53.6248502
11520,10303563,0,210.6,0,1,1,402000,353.485,1,0,0,,250.2,-113.55619140000002,53.62485079999999
11521,10303565,6,0.0,0,0,0,139000,353.257,0,0,0,,0.0,-113.55634850000001,53.62485138
11522,10303566,6,0.0,0,0,0,139000,353.395,0,0,0,,0.0,-113.5565055,53.62485196
11523,10303567,0,213.9,0,1,1,401000,353.514,1,0,0,,260.2,-113.5566627,53.62485254
11524,10303568,6,0.0,0,0,0,139000,353.516,0,0,0,,0.0,-113.55681990000001,53.62485312
11525,10303538,6,0.0,0,0,0,143500,373.39,0,0,0,,0.0,-113.55698770000001,53.62484925
11526,10303537,0,227.1,0,1,1,508000,380.161,1,0,0,,274.6,-113.5571537,53.62484762
11527,10302679,0,232.4,0,1,1,439000,415.794,1,0,0,,274.4,-113.55748799999999,53.62483538
11528,10404202,0,252.1,0,1,1,300000,494.948,1,0,0,,298.8,-113.5591369,53.62456065
11529,10404204,0,209.5,1,1,1,247500,363.674,1,0,0,,250.3,-113.55957859999998,53.62456453
11530,10404205,0,252.1,0,1,1,329000,369.818,1,0,0,,298.8,-113.55975829999998,53.62454946
11531,10404206,0,233.9,0,1,1,385000,372.029,1,0,0,,272.5,-113.5599237,53.62454558
11532,10404207,0,234.2,0,1,1,350500,353.296,1,0,0,,277.0,-113.56008500000002,53.62454617
11533,10404208,0,239.6,0,1,1,514500,353.371,1,0,0,,279.1,-113.5602422,53.62454675
11534,10404209,0,232.8,0,1,1,555000,353.397,1,0,0,,276.1,-113.5603993,53.62454732
11535,10404210,6,0.0,0,0,0,136000,369.464,0,0,0,,0.0,-113.56056409999998,53.62455018
11536,1155795,0,151.56,1,1,1,392500,798.363,1,0,0,,200.47,-113.60314879999999,53.51266455
11537,1155852,0,105.27,1,1,0,360500,631.055,1,0,0,,146.14,-113.6030619,53.51305066
11538,1155886,0,105.04,1,0,0,340000,616.743,1,0,0,,132.05,-113.60306159999999,53.51320342
11539,1163021,0,103.02,1,1,0,359500,612.05,1,0,0,,145.9,-113.6029232,53.51347928
11540,10034424,0,145.0,1,1,1,458000,626.474,1,0,0,,186.0,-113.4068563,53.62353451
11541,10034425,0,162.4,0,1,1,410500,421.088,1,0,0,,199.6,-113.40717040000001,53.62350237
11542,10034444,0,136.8,0,1,1,385500,373.676,1,0,0,,175.8,-113.40749840000002,53.623016500000006
11543,10034427,0,145.0,1,1,1,444500,395.641,1,0,0,,182.1,-113.4075196,53.62348388
11544,10034445,0,160.0,0,1,1,403500,373.636,1,0,0,,198.8,-113.4076645,53.62301733
11545,10034428,0,160.0,0,1,1,403500,374.049,1,0,0,,198.8,-113.40768119999998,53.62348468
