,True Assessed Value,multi-linear,lasso,ridge,RFR,XGBoost
802,372000,372445.32389269397,372448.1299007833,372540.1605577357,356843.0,371036.6875
803,358000,374227.31902012974,374229.96444891766,374317.76331949234,352375.0,348486.90625
804,318000,339891.8424998708,339894.5088686049,340033.209732458,321582.0,304139.9375
805,338500,296645.80750278383,296647.4472343102,296736.8320421688,340911.0,337418.6875
806,339000,284849.6082581803,284852.5250707157,284940.61134803295,322653.0,311411.65625
807,333000,347798.23821813986,347800.8763588257,347885.8418746963,339527.0,328570.125
808,357500,336459.984581247,336462.9323397204,336556.15843620524,352335.0,349122.25
809,340000,298876.017789945,298878.8737244755,298966.5013037771,336643.0,323901.3125
810,397500,536869.3776253462,536871.4972454719,536935.7052744627,469179.0,481728.21875
811,315000,291306.0497401096,291308.3147585131,291362.03348275274,307569.0,299947.78125
812,645000,785178.008321926,785177.2251879536,785138.1034655795,707775.0,661217.9375
813,604000,526989.3692204915,526988.5232000351,526960.1766974702,512077.0,580283.5
814,546500,447757.03457671404,447756.27401511744,447731.8515388854,455289.0,517491.65625
815,360500,346959.4580323845,346962.18505075574,347049.79894024506,350559.0,356902.4375
816,285500,227272.7602619417,227275.20236735418,227395.33201162517,290860.0,280025.78125
817,437500,398733.20263490826,398732.50930707157,398662.06549832225,444644.0,437783.75
818,419000,264077.47767250985,264076.74296668917,263995.5648870282,405150.0,416151.625
819,480500,524592.2052931078,524596.1761128269,524827.5135643743,474812.0,487157.21875
820,387500,255755.01798913628,255758.9696167484,255970.30452458933,358514.0,365388.96875
821,418000,466945.04474496096,466948.9166650921,467178.15017524734,395291.0,415871.65625
822,451000,318981.1251745187,318980.344435405,318900.42400414497,446575.0,457858.625
823,476500,511868.45064428076,511867.8509864062,511807.59993335605,490531.0,526305.0
824,466000,442253.6090489328,442252.95009892806,442186.23621850833,459240.0,470361.40625
825,481500,464951.1301195808,464950.48053078353,464885.4020781331,483534.0,494251.65625
826,499500,501350.00896948576,501349.23253691196,501288.28928470984,479826.0,500177.875
827,430000,354502.3939630389,354502.5429028496,354475.6911014803,436043.0,410900.90625
828,389000,336501.72239217535,336501.61888032034,336471.334017992,389868.0,391364.0
829,535500,504307.1588055603,504307.20292894915,504293.1553151347,452376.0,483275.59375
830,439500,429693.69559640065,429693.67258315906,429672.49064400047,446725.0,458116.46875
831,640500,701929.2677330449,701929.5295638144,701936.0944168679,557805.0,577140.75
832,417500,376060.69190532714,376061.8387345113,376037.4081507996,424346.0,416304.90625
833,412000,349632.84921944514,349634.1505259611,349612.1940866113,421054.0,402820.8125
834,409500,419309.96148920804,419310.2020303346,419299.462537691,436573.0,451501.1875
835,422000,533234.8760514483,533235.0903681368,533232.0061763637,467443.0,481205.5625
836,428000,357312.6718769558,357312.9203557372,357293.878477823,432559.0,415776.53125
837,436500,389916.5761495456,389916.5893660672,389897.89604017884,436728.0,441506.90625
838,427000,376041.7059306428,376041.7453400865,376023.11530582234,422487.0,431987.5
839,416000,380746.41716596484,380744.95044318214,380678.02415335923,412392.0,405898.59375
840,454500,361240.6623715088,361240.39443283156,361169.88803721964,394825.0,406459.25
841,405000,380622.83272164315,380621.3840685636,380555.28004084155,413589.0,412045.46875
842,442000,421014.89298167825,421018.89144341275,421242.68987463415,440672.0,449789.90625
843,461500,557151.8830544315,557156.9792911224,557390.3317254893,453334.0,458723.15625
844,380500,491094.40230770037,491091.5894100331,491016.26983500645,353997.0,320412.8125
845,336000,417220.5733262338,417217.8954599798,417141.4673949629,329355.0,327204.03125
